cpu%,4
120,30
248,62
103,25.75
79.3,19.824999999999999
122,30.5
67.6,16.899999999999999
96.9,24.225000000000001
109,27.25
43.7,10.925000000000001
121,30.25
54.5,13.625
50.0,12.5
214,53.5
123,30.75
16.6,4.1500000000000004
122,30.5
75.7,18.925000000000001
79.3,19.824999999999999
59.3,14.824999999999999
67.5,16.875
91.1,22.774999999999999
151,37.75
224,56
172,43
110,27.5
86.2,21.550000000000001
206,51.5
158,39.5
206,51.5
173,43.25
210,52.5
170,42.5
176,44
193,48.25
224,56
200,50
213,53.25
209,52.25
188,47
179,44.75
193,48.25
217,54.25
227,56.75
223,55.75
232,58
183,45.75
141,35.25
163,40.75
136,34
127,31.75
13.3,3.3250000000000002
80.4,20.100000000000001
11.9,2.9750000000000001
18.1,4.5250000000000004
12.8,3.2000000000000002
11.9,2.9750000000000001
17.1,4.2750000000000004
,
,
,
,
,
,
,
,
